Symbol,Name,Sector,Industry
AEZS,Aeterna Zentaris Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,Technology,EDP Services
AFYA,Afya Limited Class A Common Shares,Real Estate,Other Consumer Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,Consumer Discretionary,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,Finance,Blank Checks
AGGRW,Agile Growth Corp. Warrant.,Finance,Blank Checks
AGIL,AgileThought Inc. Class A Common Stock,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGR,Avangrid Inc. Common Stock,Utilities,Electric Utilities: Central
AGRX,Agile Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
AGX,Argan Inc. Common Stock,Industrials,Oilfield Services/Equipment
AGYS,Agilysys Inc. Common Stock (DE),Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHH,Armada Hoffler Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate,Real Estate Investment Trusts
AIB,AIB Acquisition Corporation Class A Ordinary Shares,Finance,Blank Checks
AIBBR,AIB Acquisition Corporation Right,Finance,Blank Checks
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,Real Estate,Real Estate Investment Trusts
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AIM,AIM ImmunoTech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,Finance,Blank Checks
AIMAW,Aimfinity Investment Corp. I Warrant,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,Finance,Blank Checks
AIMC,Altra Industrial Motion Corp. Common Stock,Industrials,Industrial Machinery/Components
AIMD,Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,Finance,Investment Managers
AIP,Arteris Inc. Common Stock,Technology,Semiconductors
AIR,AAR Corp. Common Stock,Industrials,Aerospace
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Hospital/Nursing Management
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Industrials,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKLI,Akili Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AKR,Acadia Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,Utilities,Telecommunications Equipment
AKU,Akumin Inc. Common Stock (DE),Health Care,Medical Specialities
AKYA,Akoya BioSciences Inc. Common Stock,Industrials,Medical Specialities
AL,Air Lease Corporation Class A Common Stock,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,Industrials,Industrial Specialties
ALBT,Avalon GloboCare Corp. Common Stock,Real Estate,Building operators
ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,Utilities,Power Generation
ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,Real Estate,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALKT,Alkami Technology Inc. Common Stock,Technology,EDP Services
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
ALLK,Allakos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALLY,Ally Financial Inc. Common Stock,Finance,Diversified Financial Services
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,Finance,Blank Checks
ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,Industrials,Consumer Electronics/Appliances
ALPAU,Alpha Healthcare Acquisition Corp. III Units,Industrials,Consumer Electronics/Appliances
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,Industrials,Consumer Electronics/Appliances
ALPN,Alpine Immune Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ALR,AlerisLife Inc. Common Stock,Health Care,Hospital/Nursing Management
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation Common Stock,Finance,Commercial Banks
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,Finance,Blank Checks
ALSAR,Alpha Star Acquisition Corporation Rights,Finance,Blank Checks
ALSAW,Alpha Star Acquisition Corporation Warrants,Finance,Blank Checks
ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALTI,Alvarium Tiedemann Holdings Inc. Class A Common Stock,Finance,Investment Managers
ALTIW,Alvarium Tiedemann Holdings Inc. Warrant,Finance,Investment Managers
ALTO,Alto Ingredients Inc. Common Stock,Industrials,Industrial Specialties
ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ALTUW,Altitude Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ALVR,AlloVir Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALX,Alexander's Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
AM,Antero Midstream Corporation Common Stock,Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Commercial Banks
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors
AMBC,Ambac Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AMCX,AMC Networks Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AME,AMETEK Inc.,Consumer Discretionary,Metal Fabrications
AMED,Amedisys Inc Common Stock,Health Care,Medical/Nursing Services
AMEH,Apollo Medical Holdings Inc. Common Stock,Health Care,Managed Health Care
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMK,AssetMark Financial Holdings Inc. Common Stock,Finance,Finance/Investors Services
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors
AMLI,American Lithium Corp. Common Stock,Industrials,Industrial Machinery/Components
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,Health Care,Assisted Living Services
AMNB,American National Bankshares Inc. Common Stock,Finance,Major Banks
AMOT,Allied Motion Technologies Inc.,Industrials,Electrical Products
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Telecommunications,Telecommunications Equipment
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
AMPE,Ampio Pharmaceuticals Inc.,Health Care,Biotechnology: Pharmaceutical Preparations
AMPG,Amplitech Group Inc. Common Stock,Technology,Industrial Machinery/Components
AMPGW,Amplitech Group Inc. Warrants,Technology,Industrial Machinery/Components
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,Technology,EDP Services
AMPY,Amplify Energy Corp. Common Stock,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
AMRK,A-Mark Precious Metals Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
AMRS,Amyris Inc. Common Stock,Industrials,Industrial Specialties
AMS,American Shared Hospital Services Common Stock,Health Care,Medical Specialities
AMSC,American Superconductor Corporation Common Stock,Industrials,Office Equipment/Supplies/Services
AMSF,AMERISAFE Inc. Common Stock,Finance,Accident &Health Insurance
AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AMSWA,American Software Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks
AMTI,Applied Molecular Transport Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
AMTX,Aemetis Inc. (DE) Common Stock,Energy,Oilfield Services/Equipment
AMV,Atlis Motor Vehicles Inc. Class A Common Stock,Consumer Discretionary,Automotive Aftermarket
AMWD,American Woodmark Corporation Common Stock,Consumer Discretionary,Building Products
AMWL,American Well Corporation Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Telecommunications,Telecommunications Equipment
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
ANAB,AnaptysBio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,Consumer Staples,Tobacco
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANGI,Angi Inc. Class A Common Stock,Technology,EDP Services
ANGN,Angion Biomedica Corp. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANGO,AngioDynamics Inc. Common Stock,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ANIP,ANI Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANIX,Anixa Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANNX,Annexon Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ANTX,AN2 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,Annovis Bio Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
ANZU,Anzu Special Acquisition Corp I Class A Common Stock,Industrials,Consumer Electronics/Appliances
ANZUU,Anzu Special Acquisition Corp I Units,Industrials,Consumer Electronics/Appliances
ANZUW,Anzu Special Acquisition Corp I Warrant,Industrials,Consumer Electronics/Appliances
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,Investment Managers
AOGOW,Arogo Capital Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers
AORT,Artivion Inc. Common Stock,Health Care,Medical/Dental Instruments
AOS,A.O. Smith Corporation Common Stock,Industrials,Industrial Machinery/Components
AP,Ampco-Pittsburgh Corporation Common Stock,Industrials,Metal Fabrications
APA,APA Corporation Common Stock,Energy,Oil & Gas Production
